kanji	kanken	jlpt	wanikani	grade	frequency	kunyomi	onyomi	meanings
臓	5	N2	WK34	G6	FQ991	はらわた	ぞう	Entrails,Viscera,Bowels
律	5	N2	WK23	G6	FQ992		りつ,りち,れつ	Rhythm,Law,Regulation,Gauge,Control
至	5	N1	WK41	G6	FQ996	いた.る	し	Climax,Arrive,Proceed,Reach,Attain,Result In
宗	5	N1	WK29	G6	FQ997	むね	しゅう,そう	Religion,Sect,Denomination,Main Point,Origin,Essence
宙	5	N1	WK19	G6	FQ1005		ちゅう	Mid-air,Air,Space,Sky,Memorization,Interval Of Time
操	5	N1	WK33	G6	FQ1016	みさお,あやつ.る	そう,さん	Maneuver,Manipulate,Operate,Steer,Chastity,Virginity,Fidelity
誕	5	N1	WK22	G6	FQ1024		たん	Nativity,Be Born,Declension,Lie,Be Arbitrary
孝	5		WK40	G6	FQ1030		こう,きょう	Filial Piety,Child's Respect
純	5	N2	WK34	G6	FQ1044		じゅん	Genuine,Purity,Innocence,Net (profit)
訳	5	N1	WK32	G6	FQ1050	わけ	やく	Translate,Reason,Circumstance,Case
吸	5	N3	WK22	G6	FQ1054	す.う	きゅう	Suck,Imbibe,Inhale,Sip
看	5	N1	WK23	G6	FQ1060	み.る	かん	Watch Over,See
奏	5	N1	WK38	G6	FQ1067	かな.でる	そう	Play Music,Speak To A Ruler,Complete
翌	5	N2	WK30	G6	FQ1070		よく	The Following,Next
片	5	N2	WK39	G6	FQ1076	かた-,かた	へん	One-sided,Leaf,Sheet,Right-side Kata Radical (no. 91)
郷	5	N1	WK41	G6	FQ1077	さと	きょう,ごう	Home Town,Village,Native Place,District
敬	5	N2	WK33	G6	FQ1078	うやま.う	けい,きょう	Awe,Respect,Honor,Revere
泉	5	N2	WK12	G6	FQ1086	いずみ	せん	Spring,Fountain
己	5	N1	WK35	G6	FQ1098	おのれ,つちのと,な	こ,き	Self
忠	5	N1	WK33	G6	FQ1113		ちゅう	Loyalty,Fidelity,Faithfulness
沿	5	N1	WK34	G6	FQ1121	そ.う,-ぞ.い	えん	Run Alongside,Follow Along,Run Along,Lie Along
誠	5	N1	WK41	G6	FQ1128	まこと	せい	Sincerity,Admonish,Warn,Prohibit,Truth,Fidelity
忘	5	N3	WK18	G6	FQ1129	わす.れる	ぼう	Forget
俳	5	N1	WK23	G6	FQ1137		はい	Haiku,Actor
宝	5	N2	WK4	G6	FQ1139	たから	ほう	Treasure,Wealth,Valuables
胸	5	N2	WK18	G6	FQ1144	むね,むな-	きょう	Bosom,Breast,Chest,Heart,Feelings
砂	5	N2	WK33	G6	FQ1146	すな	さ,しゃ	Sand
