kanji	kanken	jlpt	wanikani	grade	frequency	kunyomi	onyomi	meanings
誉	4	N1	WK40	G8	FQ1064	ほま.れ,ほ.める	よ	Reputation,Praise,Honor,Glory
歓	4	N1	WK34	G8	FQ1065	よろこ.ぶ	かん	Delight,Joy
勧	4	N1	WK39	G8	FQ1068	すす.める	かん,けん	Persuade,Recommend,Advise,Encourage,Offer
騒	4	N1	WK30	G8	FQ1069	さわ.ぐ,うれい,さわ.がしい	そう	Boisterous,Make Noise,Clamor,Disturb,Excite
隣	4	N1	WK40	G8	FQ1083	とな.る,となり	りん	Neighboring
悩	4	N2	WK27	G8	FQ1084	なや.む,なや.ます,なや.ましい,なやみ	のう	Trouble,Worry,In Pain,Distress,Illness
御	4	N3	WK39	G8	FQ1087	おん-,お-,み-	ぎょ,ご	Honorable,Manipulate,Govern
範	4	N1	WK42	G8	FQ1088		はん	Pattern,Example,Model
隠	4	N1	WK25	G8	FQ1089	かく.す,かく.し,かく.れる,かか.す,よ.る	いん,おん	Conceal,Hide,Cover
釈	4	N1	WK51	G8	FQ1097	とく,す.てる,ゆる.す	しゃく,せき	Explanation
荒	4	N2	WK42	G8	FQ1099	あら.い,あら-,あ.れる,あ.らす,-あ.らし,すさ.む	こう	Laid Waste,Rough,Rude,Wild
威	4	N1	WK43	G8	FQ1103	おど.す,おど.し,おど.かす	い	Intimidate,Dignity,Majesty,Menace,Threaten
豪	4	N1	WK31	G8	FQ1104	えら.い	ごう	Overpowering,Great,Powerful,Excelling,Australia
微	4	N1	WK28	G8	FQ1108	かす.か	び	Delicate,Minuteness,Insignificance
妙	4	N1	WK28	G8	FQ1122	たえ	みょう,びょう	Exquisite,Strange,Queer,Mystery,Miracle,Excellent,Delicate,Charming
襲	4	N1	WK43	G8	FQ1130	おそ.う,かさ.ね	しゅう	Attack,Advance On,Succeed To,Pile,Heap
吹	4	N3	WK40	G8	FQ1133	ふ.く	すい	Blow,Breathe,Puff,Emit,Smoke
柄	4	N1	WK42	G8	FQ1140	がら,え,つか	へい	Design,Pattern,Build,Nature,Character,Handle,Crank,Grip,Knob,Shaft
驚	4	N1	WK31	G8	FQ1141	おどろ.く,おどろ.かす	きょう	Wonder,Be Surprised,Frightened,Amazed
娘	4	N3	WK29	G8	FQ1145	むすめ,こ	じょう	Daughter,Girl
剤	4	N1	WK40	G8	FQ1151	かる,けず.る	ざい,すい,せい	Dose,Medicine,Drug
趣	4	N1	WK43	G8	FQ1153	おもむき,おもむ.く	しゅ	Purport,Gist,Elegance,Interest,Proceed To,Tend,Become
旬	4	N1	WK37	G8	FQ1162		じゅん,しゅん	Decameron,Ten-day Period,Season (for Specific Products)
腕	4	N2	WK24	G8	FQ1163	うで	わん	Arm,Ability,Talent
兼	4	N1	WK40	G8	FQ1164	か.ねる,-か.ねる	けん	Concurrently,And,Beforehand,In Advance
旨	4	N1	WK43	G8	FQ1166	むね,うま.い	し	Delicious,Relish,Show A Liking For,Purport,Will,Clever,Expert
即	4	N1	WK43	G8	FQ1167	つ.く,つ.ける,すなわ.ち	そく	Instant,Namely,As Is,Conform,Agree,Adapt
較	4	N1	WK26	G8	FQ1172	くら.べる	かく,こう	Contrast,Compare
床	4	N2	WK42	G8	FQ1175	とこ,ゆか	しょう	Bed,Counter For Beds,Floor,Padding,Tatami
詳	4	N1	WK17	G8	FQ1178	くわ.しい,つまび.らか	しょう	Detailed,Full,Minute,Accurate,Well-informed
抵	4	N1	WK37	G8	FQ1182		てい	Resist,Reach,Touch
柔	4	N2	WK43	G8	FQ1187	やわ.らか,やわ.らかい,やわ,やわ.ら	じゅう,にゅう	Tender,Weakness,Gentleness,Softness
茂	4	N1	WK40	G8	FQ1188	しげ.る	も	Overgrown,Grow Thick,Be Luxuriant
距	4	N1	WK43	G8	FQ1191	へだ.たる,けづめ	きょ	Long-distance,Spur,Fetlock
雅	4	N1	WK40	G8	FQ1192	みや.び	が	Gracious,Elegant,Graceful,Refined
飾	4	N1	WK30	G8	FQ1193	かざ.る,かざ.り	しょく	Decorate,Ornament,Adorn,Embellish
網	4	N1	WK42	G8	FQ1194	あみ	もう	Netting,Network
繁	4	N1	WK40	G8	FQ1198	しげ.る,しげ.く	はん	Luxuriant,Thick,Overgrown,Frequency,Complexity,Trouble
殿	4	N2	WK40	G8	FQ1199	との,-どの	でん,てん	Mr.,Hall,Mansion,Palace,Temple,Lord
濃	4	N2	WK27	G8	FQ1200	こ.い	のう	Concentrated,Thick,Dark,Undiluted
翼	4	N1	WK44	G8	FQ1201	つばさ	よく	Wing,Plane,Flank
敷	4	N1	WK40	G8	FQ1212	し.く,-し.き	ふ	Spread,Pave,Sit,Promulgate
肩	4	N2	WK24	G8	FQ1215	かた	けん	Shoulder
圏	4	N1	WK39	G8	FQ1216	かこ.い	けん	Sphere,Circle,Radius,Range
罰	4	N1	WK22	G8	FQ1220	ばっ.する	ばつ,ばち,はつ	Penalty,Punishment
怒	4	N3	WK27	G8	FQ1221	いか.る,おこ.る	ど,ぬ	Angry,Be Offended
腐	4	N1	WK34	G8	FQ1225	くさ.る,-くさ.る,くさ.れる,くさ.れ,くさ.らす,くさ.す	ふ	Rot,Decay,Sour
脚	4	N1	WK45	G8	FQ1228	あし	きゃく,きゃ,かく	Skids,Leg,Undercarriage,Lower Part,Base
泊	4	N2	WK42	G8	FQ1233	と.まる,と.める	はく	Overnight Stay,Put Up At,Ride At Anchor
尽	4	N1	WK48	G8	FQ1234	つ.くす,-つ.くす,-づ.くし,-つ.く,-づ.く,-ず.く,つ.きる,つ.かす,さかづき,ことごと.く,つか,つき	じん,さん	Exhaust,Use Up,Run Out Of,Deplete,Befriend,Serve
杯	4	N3	WK29	G8	FQ1235	さかずき	はい	Counter For Cupfuls,Wine Glass,Glass,Toast
甘	4	N2	WK36	G8	FQ1248	あま.い,あま.える,あま.やかす,うま.い	かん	Sweet,Coax,Pamper,Be Content,Sugary
鎖	4	N1	WK52	G8	FQ1250	くさり,とざ.す	さ	Chain,Irons,Connection
彩	4	N1	WK48	G8	FQ1251	いろど.る	さい	Coloring,Paint,Makeup
掘	4	N2	WK42	G8	FQ1257	ほ.る	くつ	Dig,Delve,Excavate
輝	4	N1	WK48	G8	FQ1259	かがや.く	き	Radiance,Shine,Sparkle,Gleam,Twinkle
蓄	4	N1	WK48	G8	FQ1260	たくわ.える	ちく	Amass,Raise,Hoard,Store
巡	4	N1	WK40	G8	FQ1262	めぐ.る,めぐ.り	じゅん	Patrol,Go Around,Circumference
疲	4	N3	WK45	G8	FQ1263	つか.れる,-づか.れ,つか.らす	ひ	Exhausted,Tire,Weary
瞬	4	N1	WK46	G8	FQ1265	またた.く,まじろ.ぐ	しゅん	Wink,Blink,Twinkle
皆	4	N3	WK13	G8	FQ1267	みな,みんな	かい	All,Everything
砲	4	N1	WK44	G8	FQ1268		ほう	Cannon,Gun
噴	4	N1	WK52	G8	FQ1270	ふ.く	ふん	Erupt,Spout,Emit,Flush Out
沈	4	N2	WK43	G8	FQ1271	しず.む,しず.める	ちん,じん	Sink,Be Submerged,Subside,Be Depressed,Aloes
誇	4	N1	WK46	G8	FQ1272	ほこ.る	こ	Boast,Be Proud,Pride,Triumphantly
煙	4	N3	WK18	G8	FQ1290	けむ.る,けむり,けむ.い	えん	Smoke
縁	4	N1	WK44	G8	FQ1291	ふち,ふちど.る,ゆかり,よすが,へり,えにし	えん,-ねん	Affinity,Relation,Connection,Edge,Border,Verge,Brink
耐	4	N1	WK48	G8	FQ1295	た.える	たい	-proof,Enduring
恋	4	N2	WK17	G8	FQ1296	こ.う,こい,こい.しい	れん	Romance,In Love,Yearn For,Miss,Darling
猛	4	N1	WK29	G8	FQ1301		もう	Fierce,Rave,Rush,Become Furious,Wildness,Strength
剣	4	N1	WK35	G8	FQ1305	つるぎ	けん	Sabre,Sword,Blade,Clock Hand
腰	4	N2	WK24	G8	FQ1306	こし	よう	Loins,Hips,Waist,Low Wainscoting
踊	4	N2	WK48	G8	FQ1308	おど.る	よう	Jump,Dance,Leap,Skip
恒	4	N1	WK52	G8	FQ1314	つね,つねに	こう	Constancy,Always
眠	4	N3	WK27	G8	FQ1315	ねむ.る,ねむ.い	みん	Sleep,Die,Sleepy
冒	4	N1	WK16	G8	FQ1317	おか.す	ぼう	Risk,Face,Defy,Dare,Damage,Assume (a Name)
憶	4	N1	WK48	G8	FQ1324		おく	Recollection,Think,Remember
怖	4	N3	WK29	G8	FQ1325	こわ.い,こわ.がる,お.じる,おそ.れる	ふ,ほ	Dreadful,Be Frightened,Fearful
珍	4	N2	WK43	G8	FQ1330	めずら.しい,たから	ちん	Rare,Curious,Strange
黙	4	N1	WK46	G8	FQ1338	だま.る,もだ.す	もく,ぼく	Silence,Become Silent,Stop Speaking,Leave As Is
狭	4	N1	WK24	G8	FQ1346	せま.い,せば.める,せば.まる,さ	きょう,こう	Cramped,Narrow,Contract,Tight
殖	4	N1	WK40	G8	FQ1362	ふ.える,ふ.やす	しょく	Augment,Increase,Multiply,Raise
溶	4	N2	WK48	G8	FQ1364	と.ける,と.かす,と.く	よう	Melt,Dissolve,Thaw
輩	4	N1	WK25	G8	FQ1365	-ばら,やから,やかい,ともがら	はい	Comrade,Fellow,People,Companions
奇	4	N1	WK28	G8	FQ1367	く.しき,あや.しい,くし,めずら.しい	き	Strange,Strangeness,Curiosity
慢	4	N1	WK52	G8	FQ1368		まん	Ridicule,Laziness
拍	4	N1	WK56	G8	FQ1373		はく,ひょう	Clap,Beat (music)
丈	4		WK15	G8	FQ1375	たけ,だけ	じょう	Length,Ten Shaku,Measure,Mr.,Ms.,Height,Stature,All (one Has),Only,That's All,Merely
涙	4	N2	WK44	G8	FQ1381	なみだ	るい,れい	Tears,Sympathy
匹	4	N2	WK44	G8	FQ1384	ひき	ひつ	Equal,Head,Counter For Small Animals,Roll Of Cloth
暇	4	N1	WK27	G8	FQ1386	ひま,いとま	か	Spare Time,Rest,Leisure,Time,Leave Of Absence
鑑	4	N1	WK31	G8	FQ1391	かんが.みる,かがみ	かん	Specimen,Take Warning From,Learn From
陰	4	N1	WK45	G8	FQ1393	かげ,かげ.る	いん	Shade,Yin,Negative,Sex Organs,Secret,Shadow
鋭	4	N2	WK40	G8	FQ1395	するど.い	えい	Pointed,Sharpness,Edge,Weapon,Sharp,Violent
烈	4	N1	WK29	G8	FQ1397	はげ.しい	れつ	Ardent,Violent,Vehement,Furious,Severe,Extreme
尋	4	N1	WK31	G8	FQ1398	たず.ねる,ひろ	じん	Inquire,Fathom,Look For
稿	4	N1	WK53	G8	FQ1400	わら,したがき	こう	Draft,Copy,Manuscript,Straw
丹	4	N1	WK53	G8	FQ1402	に	たん	Rust-colored,Red,Red Lead,Pills,Sincerity
丘	4	N1	WK44	G8	FQ1405	おか	きゅう	Hill,Knoll
漫	4	N1	WK50	G8	FQ1408	みだり.に,そぞ.ろ	まん	Cartoon,Involuntarily,Unrestrained,In Spite Of Oneself,Corrupt
玄	4	N1	WK51	G8	FQ1409	くろ,くろ.い	げん	Mysterious,Occultness,Black,Deep,Profound
舗	4	N1	WK53	G8	FQ1412		ほ	Shop,Store,Pave
軒	4	N2	WK51	G8	FQ1416	のき	けん	Flats,Counter For Houses,Eaves
狂	4	N1	WK45	G8	FQ1425	くる.う,くる.おしい,くるお.しい	きょう	Lunatic,Insane,Crazy,Confuse
叫	4	N2	WK44	G8	FQ1426	さけ.ぶ	きょう	Shout,Exclaim,Yell
緯	4	N1	WK53	G8	FQ1430	よこいと,ぬき	い	Horizontal,Woof,Left & Right,(parallels Of) Latitude,Prediction
屈	4	N1	WK27	G8	FQ1434	かが.む,かが.める	くつ	Yield,Bend,Flinch,Submit
淡	4	N1	WK49	G8	FQ1436	あわ.い	たん	Thin,Faint,Pale,Fleeting
浸	4	N1	WK49	G8	FQ1447	ひた.す,ひた.る,つ.かる	しん	Immersed,Soak,Dip,Steep,Moisten,Wet,Dunk
乾	4	N2	WK29	G8	FQ1453	かわ.く,かわ.かす,ほ.す,ひ.る,いぬい	かん,けん	Drought,Dry,Dessicate,Drink Up,Heaven,Emperor
祈	4	N2	WK18	G8	FQ1462	いの.る	き	Pray,Wish
惨	4	N1	WK53	G8	FQ1463	みじ.め,いた.む,むご.い	さん,ざん	Wretched,Disaster,Cruelty,Harsh
沼	4	N1	WK43	G8	FQ1467	ぬま	しょう	Marsh,Lake,Bog,Swamp,Pond
髪	4	N3	WK44	G8	FQ1474	かみ	はつ	Hair Of The Head
忙	4	N3	WK19	G8	FQ1475	いそが.しい,せわ.しい,おそ.れる,うれえるさま	ぼう,もう	Busy,Occupied,Restless
盾	4	N1	WK48	G8	FQ1476	たて	じゅん	Shield,Escutcheon,Pretext
雷	4	N1	WK44	G8	FQ1491	かみなり,いかずち,いかづち	らい	Thunder,Lightning Bolt
添	4	N1	WK29	G8	FQ1501	そ.える,そ.う	てん	Annexed,Accompany,Marry,Suit,Meet,Satisfy,Attach,Append,Garnish,Imitate
汗	4	N2	WK26	G8	FQ1502	あせ	かん	Sweat,Perspire
斜	4	N1	WK48	G8	FQ1504	なな.め,はす	しゃ	Diagonal,Slanting,Oblique
紫	4	N1	WK49	G8	FQ1516	むらさき	し	Purple,Violet
紋	4	N1	WK54	G8	FQ1519		もん	Family Crest,Figures
欄	4	N1	WK54	G8	FQ1523	てすり	らん	Column,Handrail,Blank,Space
拓	4	N1	WK49	G8	FQ1526	ひら.く	たく	Clear (the Land),Open,Break Up (land)
咲	4	N2	WK48	G8	FQ1534	さ.く,-ざき	しょう	Blossom,Bloom
矛	4	N1	WK45	G8	FQ1538	ほこ	む,ぼう	Halberd,Arms,Festival Float
召	4	N2	WK51	G8	FQ1540	め.す	しょう	Seduce,Call,Send For,Wear,Put On,Ride In,Buy,Eat,Drink,Catch (cold)
脂	4	N2	WK51	G8	FQ1548	あぶら	し	Fat,Grease,Tallow,Lard,Rosin,Gum,Tar
鬼	4	N1	WK23	G8	FQ1557	おに,おに-	き	Ghost,Devil
煮	4	N1	WK49	G8	FQ1565	に.る,-に,に.える,に.やす	しゃ	Boil,Cook
仰	4	N1	WK50	G8	FQ1573	あお.ぐ,おお.せ,お.っしゃる,おっしゃ.る	ぎょう,こう	Face-up,Look Up,Depend,Seek,Respect,Rever,Drink,Take
鈍	4	N2	WK46	G8	FQ1574	にぶ.い,にぶ.る,にぶ-,なま.る,なまく.ら	どん	Dull,Slow,Foolish,Blunt
恥	4	N3	WK35	G8	FQ1575	は.じる,はじ,は.じらう,は.ずかしい	ち	Shame,Dishonor
征	4	N1	WK49	G8	FQ1578		せい	Subjugate,Attack The Rebellious,Collect Taxes
謡	4	N1	WK54	G8	FQ1580	うた.い,うた.う	よう	Song,Sing,Ballad,Noh Chanting
嘆	4	N1	WK31	G8	FQ1584	なげ.く,なげ.かわしい	たん	Sigh,Lament,Moan,Grieve,Sigh Of Admiration
寂	4	N1	WK56	G8	FQ1599	さび,さび.しい,さび.れる,さみ.しい	じゃく,せき	Loneliness,Quietly,Mellow,Mature,Death Of A Priest
俗	4	N1	WK49	G8	FQ1610		ぞく	Vulgar,Customs,Manners,Worldliness,Mundane Things
劣	4	N1	WK49	G8	FQ1620	おと.る	れつ	Inferiority,Be Inferior To,Be Worse
姓	4	N2	WK36	G8	FQ1628		せい,しょう	Surname
粒	4	N2	WK44	G8	FQ1635	つぶ	りゅう	Grains,Drop,Counter For Tiny Particles
偉	4	N3	WK51	G8	FQ1639	えら.い	い	Admirable,Greatness,Remarkable,Conceited,Famous,Excellent
盆	4	N1	WK46	G8	FQ1654		ぼん	Basin,Lantern Festival,Tray
堤	4	N1	WK50	G8	FQ1658	つつみ	てい	Dike,Bank,Embankment
傍	4	N1	WK55	G8	FQ1660	かたわ.ら,わき,おか-,はた,そば	ぼう	Bystander,Side,Besides,While,Nearby,Third Person
搬	4	N1	WK50	G8	FQ1664		はん	Conveyor,Carry,Transport
畳	4	N2	WK47	G8	FQ1665	たた.む,たたみ,かさ.なる	じょう,ちょう	Tatami Mat,Counter For Tatami Mats,Fold,Shut Up,Do Away With
凶	4	N1	WK45	G8	FQ1673		きょう	Villain,Evil,Bad Luck,Disaster
吐	4	N1	WK34	G8	FQ1674	は.く,つ.く	と	Spit,Vomit,Belch,Confess,Tell (lies)
膚	4	N2	WK51	G8	FQ1679	はだ	ふ	Skin,Body,Grain,Texture,Disposition
塔	4	N2	WK44	G8	FQ1708		とう	Pagoda,Tower,Steeple
鉛	4	N1	WK26	G8	FQ1710	なまり	えん	Lead
獣	4	N1	WK26	G8	FQ1714	けもの,けだもの	じゅう	Animal,Beast
跳	4	N1	WK37	G8	FQ1716	は.ねる,と.ぶ,-と.び	ちょう	Hop,Leap Up,Spring,Jerk,Prance,Buck,Splash,Sputter,Snap
菓	4	N2	WK26	G8	FQ1719		か	Candy,Cakes,Fruit
澄	4	N1	WK45	G8	FQ1722	す.む,す.ます,-す.ます	ちょう	Lucidity,Be Clear,Clear,Clarify,Settle,Strain,Look Grave
僧	4	N1	WK18	G8	FQ1724		そう	Buddhist Priest,Monk
幾	4	N3	WK31	G8	FQ1725	いく-,いく.つ,いく.ら	き	How Many,How Much,How Far,How Long,Some,Several
唐	4		WK50	G8	FQ1727	から	とう	T'ang,China,Foreign
凡	4	N1	WK56	G8	FQ1730	およ.そ,おうよ.そ,すべ.て	ぼん,はん	Commonplace,Ordinary,Mediocre
刈	4	N1	WK49	G8	FQ1738	か.る	がい,かい	Reap,Cut,Clip,Trim,Prune
帽	4	N2	WK47	G8	FQ1742	ずきん,おお.う	ぼう,もう	Cap,Headgear
霧	4	N1	WK47	G8	FQ1747	きり	む,ぼう,ぶ	Fog,Mist
枯	4	N2	WK51	G8	FQ1749	か.れる,か.らす	こ	Wither,Die,Dry Up,Be Seasoned
麗	4	N1	WK28	G8	FQ1758	うるわ.しい,うら.らか	れい	Lovely,Beautiful,Graceful,Resplendent
暦	4	N1	WK45	G8	FQ1765	こよみ	れき,りゃく	Calendar,Almanac
桃	4	N1	WK44	G8	FQ1784	もも	とう	Peach
狩	4	N1	WK45	G8	FQ1785	か.る,か.り,-が.り	しゅ	Hunt,Raid,Gather
舟	4	N2	WK45	G8	FQ1786	ふね,ふな-,-ぶね	しゅう	Boat,Ship
朱	4	N1	WK44	G8	FQ1788	あけ	しゅ	Vermilion,Cinnabar,Scarlet,Red,Bloody
鼓	4	N1	WK57	G8	FQ1795	つづみ	こ	Drum,Beat,Rouse,Muster
扇	4	N1	WK47	G8	FQ1805	おうぎ	せん	Fan,Folding Fan
燥	4	N2	WK51	G8	FQ1819	はしゃ.ぐ	そう	Parch,Dry Up
坊	4		WK22	G8	FQ1832		ぼう,ぼっ	Boy,Priest's Residence,Priest
峰	4	N1	WK50	G8	FQ1836	みね,ね	ほう	Summit,Peak
肪	4	N1	WK51	G8	FQ1878		ぼう	Obese,Fat
戯	4	N1	WK58	G8	FQ1880	たわむ.れる,ざ.れる,じゃ.れる	ぎ,げ	Frolic,Play,Sport
濁	4	N1	WK58	G8	FQ1883	にご.る,にご.す	だく,じょく	Voiced,Uncleanness,Wrong,Nigori,Impurity
朽	4	N1	WK58	G8	FQ1891	く.ちる	きゅう	Decay,Rot,Remain In Seclusion
曇	4	N2	WK45	G8	FQ1899	くも.る	どん	Cloudy Weather,Cloud Up
胴	4	N1	WK47	G8	FQ1904		どう	Trunk,Torso,Hull (ship),Hub Of Wheel
奴	4	N1	WK34	G8	FQ1932	やつ,やっこ	ど	Guy,Slave,Manservant,Fellow
峠	4	N1	WK59	G8	FQ1941	とうげ		Mountain Peak,Mountain Pass,Climax,Crest,(kokuji)
雌	4	N1	WK59	G8	FQ1951	め-,めす,めん	し	Feminine,Female
隷	4	N1	WK34	G8	FQ2009	したが.う,しもべ	れい	Slave,Servant,Prisoner,Criminal,Follower
滴	4	N2	WK47	G8	FQ2019	しずく,したた.る	てき	Drip,Drop
薪	4	N1		G8	FQ2182	たきぎ,まき	しん	Fuel,Firewood,Kindling
伺	4	N2	WK41	G8	FQ2209	うかが.う	し	Pay Respects,Visit,Ask,Inquire,Question,Implore
壱	4	N1		G8	FQ2351	ひとつ	いち,いつ	One (in Documents)
芋	4	N1	WK34	G8	FQ2418	いも	う	Potato
弐	4	N1		G8		ふた.つ,そえ	に,じ	Ii,Two,Second
賦	4	N1		G8			ふ,ぶ	Levy,Ode,Prose,Poem,Tribute,Installment
箇	4	N1		G8			か,こ	Counter For Articles
企	3	N1	WK21	G8	FQ278	くわだ.てる,たくら.む	き	Undertake,Scheme,Design,Attempt,Plan
施	3	N1	WK23	G8	FQ323	ほどこ.す	し,せ	Give,Bestow,Perform,Alms
審	3	N1	WK21	G8	FQ412	つまび.らか,つぶさ.に	しん	Hearing,Judge,Trial
欧	3	N2	WK29	G8	FQ421	うた.う,は.く	おう	Europe
請	3	N1	WK29	G8	FQ524	こ.う,う.ける	せい,しん,しょう	Solicit,Invite,Ask
催	3	N1	WK29	G8	FQ536	もよう.す,もよお.す	さい	Sponsor,Hold (a Meeting),Give (a Dinner)
湾	3	N2	WK37	G8	FQ545	いりえ	わん	Gulf,Bay,Inlet
超	3	N2	WK36	G8	FQ597	こ.える,こ.す	ちょう	Transcend,Super-,Ultra-
邦	3	N1	WK39	G8	FQ654	くに	ほう	Home Country,Country,Japan
緊	3	N1	WK29	G8	FQ677	し.める,し.まる	きん	Tense,Solid,Hard,Reliable,Tight
換	3	N2	WK36	G8	FQ687	か.える,-か.える,か.わる	かん	Interchange,Period,Change,Convert,Replace,Renew
吉	3	N1	WK44	G8	FQ711	よし	きち,きつ	Good Luck,Joy,Congratulations
債	3	N1	WK36	G8	FQ728		さい	Bond,Loan,Debt
伸	3	N2	WK36	G8	FQ730	の.びる,の.ばす,の.べる,の.す	しん	Expand,Stretch,Extend,Lengthen,Increase
葬	3	N1	WK37	G8	FQ754	ほうむ.る	そう	Interment,Bury,Shelve
逮	3	N1	WK25	G8	FQ766		たい	Apprehend,Chase
崩	3	N1	WK37	G8	FQ778	くず.れる,-くず.れ,くず.す	ほう	Crumble,Die,Demolish,Level
聴	3	N1	WK37	G8	FQ781	き.く,ゆる.す	ちょう,てい	Listen,Headstrong,Naughty,Careful Inquiry
了	3	N2	WK2	G8	FQ792		りょう	Complete,Finish
締	3	N1	WK27	G8	FQ797	し.まる,し.まり,し.める,-し.め,-じ.め	てい	Tighten,Tie,Shut,Lock,Fasten
房	3	N1	WK38	G8	FQ808	ふさ	ぼう	Tassel,Tuft,Fringe,Bunch,Lock (hair),Segment (orange),House,Room
募	3	N2	WK37	G8	FQ809	つの.る	ぼ	Recruit,Campaign,Gather (contributions),Enlist,Grow Violent
削	3	N1	WK37	G8	FQ814	けず.る,はつ.る,そ.ぐ	さく	Plane,Sharpen,Whittle,Pare,Shave
措	3	N1	WK41	G8	FQ818	お.く	そ	Set Aside,Give Up,Suspend,Discontinue,Lay Aside,Except
昇	3	N2	WK27	G8	FQ826	のぼ.る	しょう	Rise Up
抑	3	N1	WK38	G8	FQ834	おさ.える	よく	Repress,Well,Now,In The First Place,Push,Shove,Press,Seal,Do In Spite Of
択	3	N1	WK38	G8	FQ847	えら.ぶ	たく	Choose,Select,Elect,Prefer
刑	3	N1	WK37	G8	FQ864		けい	Punish,Penalty,Sentence,Punishment
伴	3	N1	WK38	G8	FQ886	ともな.う	はん,ばん	Consort,Accompany,Bring With,Companion
契	3	N1	WK37	G8	FQ898	ちぎ.る	けい	Pledge,Promise,Vow
掲	3	N1	WK37	G8	FQ899	かか.げる	けい	Put Up (a Notice),Put Up,Hoist,Display,Hang Out,Publish,Describe
棄	3	N1	WK41	G8	FQ901	す.てる	き	Abandon,Throw Away,Discard,Resign,Reject,Sacrifice
籍	3	N2	WK43	G8	FQ907		せき	Enroll,Domiciliary Register,Membership
緩	3	N1	WK38	G8	FQ933	ゆる.い,ゆる.やか,ゆる.む,ゆる.める	かん	Slacken,Loosen,Relax,Lessen,Be Moderate,Ease
駐	3	N2	WK40	G8	FQ955		ちゅう	Stop-over,Reside In,Resident
衝	3	N1	WK40	G8	FQ972	つ.く	しょう	Collide,Brunt,Highway,Opposition (astronomy),Thrust,Pierce,Stab,Prick
焦	3	N1	WK42	G8	FQ973	こ.げる,こ.がす,こ.がれる,あせ.る	しょう	Char,Hurry,Impatient,Irritate,Burn,Scorch,Singe
奪	3	N1	WK39	G8	FQ974	うば.う	だつ	Rob,Take By Force,Snatch Away,Dispossess,Plunder,Usurp
雇	3	N2	WK39	G8	FQ975	やと.う	こ	Employ,Hire
譲	3	N1	WK39	G8	FQ984	ゆず.る	じょう	Defer,Turnover,Transfer,Convey
誘	3	N1	WK27	G8	FQ993	さそ.う,いざな.う	ゆう	Entice,Lead,Tempt,Invite,Ask,Call For,Seduce,Allure
紛	3	N1	WK42	G8	FQ994	まぎ.れる,-まぎ.れ,まぎ.らす,まぎ.らわす,まぎ.らわしい	ふん	Distract,Be Mistaken For,Go Astray,Divert
促	3	N1	WK29	G8	FQ998	うなが.す	そく	Stimulate,Urge,Press,Demand,Incite
控	3	N1	WK39	G8	FQ1000	ひか.える,ひか.え	こう	Withdraw,Draw In,Hold Back,Refrain From,Be Moderate
携	3	N1	WK40	G8	FQ1017	たずさ.える,たずさ.わる	けい	Portable,Carry (in Hand),Armed With,Bring Along
託	3	N1	WK38	G8	FQ1021	かこつ.ける,かこ.つ,かこ.つける	たく	Consign,Requesting,Entrusting With,Pretend,Hint
撮	3	N1	WK30	G8	FQ1023	と.る,つま.む,-ど.り	さつ	Snapshot,Take Pictures
掛	3	N3	WK25	G8	FQ1027	か.ける,-か.ける,か.け,-か.け,-が.け,か.かる,-か.かる,-が.かる,か.かり,-が.かり,かかり,-がかり	かい,けい	Hang,Suspend,Depend,Arrive At,Tax,Pour
双	3	N2	WK42	G8	FQ1029	ふた,たぐい,ならぶ,ふたつ	そう	Pair,Set,Comparison,Counter For Pairs
裂	3	N1	WK43	G8	FQ1041	さ.く,さ.ける,-ぎ.れ	れつ	Split,Rend,Tear
排	3	N1	WK40	G8	FQ1047		はい	Repudiate,Exclude,Expel,Reject,Line Up,Arrange
綱	3	N1	WK42	G8	FQ1053	つな	こう	Hawser,Class (genus),Rope,Cord,Cable
顧	3	N1	WK40	G8	FQ1058	かえり.みる	こ	Look Back,Review,Examine Oneself,Turn Around
祉	3	N1	WK39	G8	FQ1063		し	Welfare,Happiness
甲	3	N1	WK39	G8	FQ1073	きのえ	こう,かん	Armor,High (voice),A Grade,First Class,Former,Instep,Carapace
揺	3	N1	WK42	G8	FQ1079	ゆ.れる,ゆ.る,ゆ.らぐ,ゆ.るぐ,ゆ.する,ゆ.さぶる,ゆ.すぶる,うご.く	よう	Swing,Shake,Sway,Rock,Tremble,Vibrate
免	3	N1	WK39	G8	FQ1080	まぬか.れる,まぬが.れる	めん	Excuse,Dismissal
既	3	N1	WK31	G8	FQ1081	すで.に	き	Previously,Already,Long Ago
華	3	N1	WK31	G8	FQ1085	はな	か,け	Splendor,Flower,Petal,Shine,Luster,Ostentatious,Showy,Gay,Gorgeous
哲	3	N1	WK42	G8	FQ1093	さとい,あきらか	てつ	Philosophy,Clear
硬	3	N2	WK45	G8	FQ1101	かた.い	こう	Stiff,Hard
滞	3	N1	WK35	G8	FQ1107	とどこお.る	たい,てい	Stagnate,Be Delayed,Overdue,Arrears
隆	3	N1	WK39	G8	FQ1109		りゅう	Hump,High,Noble,Prosperity
埋	3	N2	WK39	G8	FQ1110	う.める,う.まる,う.もれる,うず.める,うず.まる,い.ける	まい	Bury,Be Filled Up,Embedded
暫	3	N1	WK42	G8	FQ1112	しばら.く	ざん	Temporarily,A While,Moment,Long Time
肝	3	N1	WK42	G8	FQ1118	きも	かん	Liver,Pluck,Nerve,Chutzpah
